policy_id,brand,model,variant,year_from,year_to,market,engine_cc,category,first_service_km_min,first_service_km_max,second_service_km_min,second_service_km_max,regular_service_interval_km,first_service_months,regular_service_interval_months,service_rule_type,source_id,confidence,notes
POL_HONDA_CB125F,Honda,CB125F,GLR1251 / JC64,2017,2019,EU,124,NAKED,1000,1000,4000,4000,4000,UNKNOWN,12,WHICHEVER_COMES_FIRST,SRC_HONDA_CB125F_OM_1719,MEDIUM,"Running-in first 500 km. Schedule grid header: x1000 km = 1/4/8/12/16/20/24 + Annual Check; note *1 'At higher odometer reading, repeat at the frequency interval established here'. First service ~1000 km, regular interval 4000 km read from the grid spacing (per-column marks not machine-readable). 2021+ CBF125M variant: first 1000 km then every 6000 km (explicit 'SERVICE DUE' indicator)."
POL_MONDIAL_50UAG,Mondial,50 UAG,50 UAG ec,UNKNOWN,UNKNOWN,TR,50,CUB,500,1000,2000,2000,2000,1,6,WHICHEVER_COMES_FIRST,SRC_MONDIAL_50UAG_OM,HIGH,"Garanti Bakim Karti: 500-1000 km/1 ay, 2000/6 ay, 4000/12 ay, 6000/18 ay, 8000/24 ay, 10000/30 ay ... i.e. every 2000 km / 6 months. Note: if the vehicle has no odometer the month interval governs."
POL_MONDIAL_SFC,Mondial,SFC MINI 50ec,SFC Serisi (50 SFC ec),UNKNOWN,UNKNOWN,TR,50,CUB,500,1000,2000,2000,2000,1,6,WHICHEVER_COMES_FIRST,SRC_MONDIAL_SFC_OM,HIGH,"Garanti Bakim Karti: 500-1000 km/1 ay, 2000/6 ay, 4000/12 ay, 6000/18 ay, 8000/24 ay, 10000/30 ay ... i.e. every 2000 km / 6 months. Note: if the vehicle has no odometer the month interval governs."
POL_MONDIAL_WING50I,Mondial,Wing 50i,WING 50 I (EURO 5),UNKNOWN,UNKNOWN,TR,50,SCOOTER,500,1000,2000,2000,2000,1,6,WHICHEVER_COMES_FIRST,SRC_MONDIAL_WING50I_OM,HIGH,"Garanti Bakim Karti: 500-1000 km/1 ay, 2000/6 ay, 4000/12 ay, 6000/18 ay, 8000/24 ay, 10000/30 ay ... i.e. every 2000 km / 6 months. Note: if the vehicle has no odometer the month interval governs."
POL_MONDIAL_EXON50,Mondial,Exon 50,EXON 50 I (EURO 5),UNKNOWN,UNKNOWN,TR,50,SCOOTER,500,1000,2000,2000,2000,1,6,WHICHEVER_COMES_FIRST,SRC_MONDIAL_EXON50_OM,HIGH,"Garanti Bakim Karti: 500-1000 km/1 ay, 2000/6 ay, 4000/12 ay, 6000/18 ay, 8000/24 ay, 10000/30 ay ... i.e. every 2000 km / 6 months. Note: if the vehicle has no odometer the month interval governs."
POL_MONDIAL_TURISMO50I,Mondial,Turismo 50i,TURISMO 50 I (EURO 5),UNKNOWN,UNKNOWN,TR,50,SCOOTER,500,1000,2000,2000,2000,1,6,WHICHEVER_COMES_FIRST,SRC_MONDIAL_TURISMO50I_OM,HIGH,"Garanti Bakim Karti: 500-1000 km/1 ay, 2000/6 ay, 4000/12 ay, 6000/18 ay, 8000/24 ay, 10000/30 ay ... i.e. every 2000 km / 6 months. Note: if the vehicle has no odometer the month interval governs."
POL_SYM_JETX125,SYM,Jet X 125,24-JETX,2024,UNKNOWN,GLOBAL,125,SCOOTER,300,300,1000,1000,3000,1,3,WHICHEVER_COMES_FIRST,SRC_SYM_JETX125_OM,MEDIUM,"p3: 'after the first 300 kilometers ... initial inspection, and ... inspected periodically every 1000 kilometers thereafter'. Schedule checkpoints at 1000/3000/6000/12000 km; most items inspected at the 3000 km checkpoints."
POL_TVS_RAIDER125,TVS,Raider 125,Raider 125 BS VI,UNKNOWN,UNKNOWN,IN,125,NAKED,750,1000,5500,6000,6000,1,6,WHICHEVER_COMES_FIRST,SRC_TVS_RAIDER125_OM,HIGH,"1st 750-1000 km / 30-45 days (free), 2nd 6000 / 6 mo, 3rd 12000 / 12 mo, then every 6000 km / 6 months. 11 services in warranty period, first 3 free."
POL_TVS_APACHE200,TVS,Apache RTR 200 4V,Apache RTR 200 4V FI,UNKNOWN,UNKNOWN,IN,198,NAKED,500,750,5000,6000,6000,1,6,WHICHEVER_COMES_FIRST,SRC_TVS_APACHE200_OM,HIGH,"1st 500-750 km / 1 mo (free), 2nd 5000-6000 / 6 mo, 3rd 11500-12000 / 12 mo, then every 6000 km / 6 months. 11 services in warranty, first 3 free."
POL_CFMOTO_650NK,CFMOTO,650NK,CF650-7F,2024,UNKNOWN,EU,649,NAKED,1000,1000,5000,5000,5000,UNKNOWN,12,WHICHEVER_COMES_FIRST,SRC_CFMOTO_650NK_OM_EU,HIGH,Break-in (rodaje) service at 1000 km. Periodic table: engine oil & filter every 5000 km; most inspections every 10000 km / 12 months; 'El servicio debe realizarse desde que se cumpla alguno de sus intervalos'.
POL_TVS_JUPITER125,TVS,Jupiter 125,Jupiter 125 BS VI,UNKNOWN,UNKNOWN,IN,125,SCOOTER,500,750,5500,6000,6000,1,6,WHICHEVER_COMES_FIRST,SRC_TVS_JUPITER125_OM,HIGH,"1st 500-750 km / 30-60 days (free), 2nd 5500-6000 / 6 mo, 3rd 11500-12000 / 12 mo, then every 6000 km / 6 months. 9 services in warranty, first 3 free."
POL_HONDA_SH125I,Honda,SH125i,JF95,2020,UNKNOWN,EU,125,SCOOTER,1000,1000,6000,6000,6000,12,12,WHICHEVER_COMES_FIRST,SRC_HONDA_SH125I_OM_UK21,HIGH,"p30-31: 'The OIL CHANGE / maintenance indicator is appeared for the first time when the running distance reaches 1,000 km' and then 'every 6,000 km after the first indication was reset'. Running-in first 500 km."
POL_KYMCO_XTOWN250,KYMCO,X-Town CT 250,X-TOWN CT250,2018,UNKNOWN,EU,249,BIG_SCOOTER,1000,1000,6000,6000,6000,6,6,WHICHEVER_COMES_FIRST,SRC_KYMCO_XTOWN250_OM,MEDIUM,"'This interval should be judged by odometer reading or by months, whichever comes first.' Grid begins at 1000 km then ~every 6000 km. NOTE 5: engine oil & oil filter every 5000 km / 6 months. NOTE 7: inspect oil level every 1000 km."
