column,source,available_at_snapshot,future_information,leakage_risk,action,reason
load_severity_factor,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
climate_zone,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
workshop_city,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
workshop_region,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
workshop_climate_zone,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
price_level,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
service_bay_count,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
technician_count,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
daily_service_capacity,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
appointment_rate,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
avg_parts_lead_days,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
same_day_parts_rate,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
labor_rate_index,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
customer_volume_index,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
courier_customer_share,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
snapshot_odometer_km,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
current_mileage_source,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
current_mileage_quality_flag,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
current_mileage_estimated,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
current_service_type_code,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
current_arrival_mode,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
current_primary_trigger_task,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
current_service_delay_days,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
current_is_breakdown,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
current_is_warranty,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
current_service_timestamp_repaired,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
current_labor_total,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
current_parts_total,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
current_grand_total,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
current_task_count,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
current_completed_task_count,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
current_declined_task_count,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
current_policy_due_task_count,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
current_fault_task_count,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
current_inspection_finding_task_count,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
current_replace_task_count,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
current_parts_line_count,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
current_supplier_parts_line_count,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
days_since_previous_service,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
km_since_previous_service,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
avg_km_per_day_since_previous_service,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
avg_service_interval_days,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
avg_service_interval_km,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
rolling3_interval_days,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
rolling3_interval_km,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
service_odometer_regression_count_to_date,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
periodic_service_count,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
repair_service_count,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
breakdown_service_count,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
warranty_service_count,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
appointment_service_count,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
walkin_service_count,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
services_last_90d,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
services_last_365d,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
cumulative_service_spend,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
avg_service_spend,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
total_task_count,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
total_completed_task_count,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
total_declined_task_count,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
total_policy_due_task_count,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
total_fault_task_count,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
total_inspection_finding_task_count,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
total_replace_task_count,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
days_since_engine_task,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
km_since_engine_task,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
days_since_brakes_task,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
km_since_brakes_task,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
days_since_final_drive_task,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
km_since_final_drive_task,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
days_since_tires_wheels_task,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
km_since_tires_wheels_task,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
days_since_electrical_task,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
km_since_electrical_task,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
days_since_transmission_task,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
km_since_transmission_task,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
days_since_cooling_task,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
km_since_cooling_task,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
days_since_intake_task,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
km_since_intake_task,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
feature_version,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
data_origin,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
generator_version,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
random_seed,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
scenario_id,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
maintenance_overdue_days_pre_service,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
maintenance_overdue_km_pre_service,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
previous_failure_count,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
failure_hazard_score,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
chronic_risk_tier,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
snapshot_at,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
snapshot_odometer_km,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
target_event_observed,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
is_right_censored,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
next_service_id,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
next_service_received_at_raw,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
target_next_service_at,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
next_service_delivered_at,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
days_to_next_service_raw,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
days_to_next_service,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
target_time_repaired,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
next_service_odometer_km,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
km_to_next_service_raw,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
km_to_next_service,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
target_km_valid,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
next_service_mileage_source,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
next_service_mileage_quality_flag,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
next_service_is_mileage_estimated,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
next_service_type_code,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
next_service_primary_trigger_task,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
next_service_arrival_mode,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
next_service_is_breakdown,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
next_service_is_warranty,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
censor_at,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
censor_days,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
days_to_event_or_censor,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
censor_source,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
censor_time_repaired,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
target_version,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
data_origin,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
generator_version,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
random_seed,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
scenario_id,ml_next_service_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
next_service_id,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
target_event_observed,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
is_right_censored,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__ENGINE_OIL_CHECK,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__ENGINE_OIL_CHANGE,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__OIL_FILTER_CHANGE,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__OIL_LEAK_INSPECTION,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__ENGINE_COMPRESSION_TEST,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__VALVE_CLEARANCE_INSPECTION,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__VALVE_CLEARANCE_ADJUST,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__CAM_CHAIN_INSPECTION,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__CAM_CHAIN_TENSIONER_SERVICE,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__AIR_FILTER_INSPECTION,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__AIR_FILTER_CLEAN,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__AIR_FILTER_CHANGE,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__THROTTLE_BODY_CLEAN,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__INTAKE_LEAK_INSPECTION,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__SPARK_PLUG_INSPECTION,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__SPARK_PLUG_CHANGE,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__FUEL_FILTER_INSPECTION,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__FUEL_FILTER_CHANGE,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__FUEL_INJECTOR_CLEAN,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__FUEL_SYSTEM_DIAGNOSTIC,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__COOLANT_LEVEL_CHECK,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__COOLANT_CHANGE,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__COOLING_SYSTEM_INSPECTION,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__RADIATOR_CLEAN,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__THERMOSTAT_DIAGNOSTIC,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__CLUTCH_FREE_PLAY_CHECK,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__CLUTCH_ADJUST,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__CLUTCH_PLATE_INSPECTION,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__CLUTCH_PLATE_CHANGE,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__GEARBOX_OIL_CHANGE,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__CVT_CASE_INSPECTION,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__CVT_BELT_INSPECTION,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__CVT_BELT_CHANGE,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__CVT_ROLLER_INSPECTION,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__CVT_ROLLER_CHANGE,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
task__FINAL_GEAR_OIL_CHANGE,ml_next_task_targets,False,True,HIGH,TARGET/EVALUATION_ONLY,Snapshot sonrasındaki sonuç veya censoring bilgisi; X'e giremez
