model_feature,synthetic_source,expected_real_source,transformation,status,notes
workshop_climate_zone,workshop,workshop,direct field,READY,1:1 field
price_level,spec,spec,direct field,READY,1:1 field
service_bay_count,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
appointment_rate,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
avg_parts_lead_days,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
customer_volume_index,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
courier_customer_share,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
current_mileage_source,odometer/mileage history,odometer/mileage history,direct field,READY,1:1 field
current_mileage_quality_flag,odometer/mileage history,odometer/mileage history,direct field,READY,1:1 field
current_mileage_estimated,odometer/mileage history,odometer/mileage history,direct field,READY,1:1 field
current_service_type_code,service history,service history,direct field,READY,1:1 field
current_arrival_mode,service history,service history,direct field,READY,1:1 field
current_primary_trigger_task,service history,service history,direct field,READY,1:1 field
current_service_delay_days,service history,service history,direct field,READY,1:1 field
current_is_breakdown,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
current_is_warranty,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
current_service_timestamp_repaired,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
current_labor_total,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
current_parts_total,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
current_grand_total,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
current_task_count,last service record,service_events (most recent),fields of the last closed service,READY,1:1 field
current_declined_task_count,last service record,service_events (most recent),fields of the last closed service,READY,1:1 field
current_policy_due_task_count,last service record,service_events (most recent),fields of the last closed service,READY,1:1 field
current_fault_task_count,last service record,service_events (most recent),fields of the last closed service,READY,1:1 field
current_inspection_finding_task_count,last service record,service_events (most recent),fields of the last closed service,READY,1:1 field
current_replace_task_count,last service record,service_events (most recent),fields of the last closed service,READY,1:1 field
current_parts_line_count,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
current_supplier_parts_line_count,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
days_since_previous_service,service history,service history,direct field,READY,1:1 field
km_since_previous_service,service history,service history,direct field,READY,1:1 field
avg_km_per_day_since_previous_service,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
avg_service_interval_km,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
service_odometer_regression_count_to_date,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
periodic_service_count,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
repair_service_count,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
breakdown_service_count,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
warranty_service_count,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
appointment_service_count,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
walkin_service_count,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
services_last_90d,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
services_last_365d,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
cumulative_service_spend,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
avg_service_spend,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
total_declined_task_count,last service record,service_events (most recent),fields of the last closed service,READY,1:1 field
total_fault_task_count,last service record,service_events (most recent),fields of the last closed service,READY,1:1 field
total_inspection_finding_task_count,last service record,service_events (most recent),fields of the last closed service,READY,1:1 field
days_since_engine_task,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
km_since_engine_task,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
days_since_brakes_task,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
km_since_brakes_task,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
days_since_final_drive_task,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
km_since_final_drive_task,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
days_since_tires_wheels_task,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
km_since_tires_wheels_task,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
days_since_electrical_task,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
km_since_electrical_task,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
days_since_transmission_task,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
km_since_transmission_task,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
days_since_cooling_task,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
km_since_cooling_task,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
days_since_intake_task,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
km_since_intake_task,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
maintenance_overdue_days_pre_service,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
maintenance_overdue_km_pre_service,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
previous_failure_count,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
historical_interval_days_std,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
historical_interval_km_std,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
historical_policy_delay_median_days,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
historical_policy_delay_mean_days,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
historical_on_time_rate,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
recent_180d_km,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
policy_interval_km,policy,policy,direct field,READY,1:1 field
recent_vs_long_term_usage_ratio,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
