policy_id,scope_type,model_id,policy_group,task_code,policy_kind,initial_trigger_km,recurring_km,initial_trigger_months,recurring_months,trigger_mode,severe_use_multiplier,courier_multiplier,offroad_multiplier,dusty_environment_multiplier,wear_mean_km,wear_sd_km,wear_min_km,wear_max_km,precedence,evidence_level,source_authority,source_model_or_family,source_url,source_page_or_note,confidence,is_manufacturer_exact_interval,is_generator_active,policy_version,notes
POL0013,GROUP,,ICE_125_AIR_BELT,ENGINE_OIL_CHANGE,SCHEDULED,1000.0,5000.0,,12.0,WHICHEVER_FIRST,0.8,0.75,0.8,1.0,,,,,10,REPRESENTATIVE_BACKOFF,Official manufacturer maintenance manual(s),KYMCO X-Town CT family representative architecture,https://www.kymco.com.tr/upi/pdf/x-town-ct-250.pdf?v=we1,Architecture-derived backoff; not model-exact.,MEDIUM,0,1,1.1.0,
POL0014,GROUP,,ICE_125_AIR_BELT,AIR_FILTER_INSPECTION,SCHEDULED,,5000.0,,12.0,WHICHEVER_FIRST,0.75,0.85,0.6,0.5,,,,,10,REPRESENTATIVE_BACKOFF,Official manufacturer maintenance manual(s),KYMCO X-Town CT family representative architecture,https://www.kymco.com.tr/upi/pdf/x-town-ct-250.pdf?v=we1,,MEDIUM,0,1,1.1.0,
POL0015,GROUP,,ICE_125_AIR_BELT,AIR_FILTER_CHANGE,SCHEDULED,,10000.0,,24.0,WHICHEVER_FIRST,0.75,0.8,0.55,0.5,,,,,10,REPRESENTATIVE_BACKOFF,Official manufacturer maintenance manual(s),KYMCO X-Town CT family representative architecture,https://www.kymco.com.tr/upi/pdf/x-town-ct-250.pdf?v=we1,,MEDIUM,0,1,1.1.0,
POL0016,GROUP,,ICE_125_AIR_BELT,SPARK_PLUG_INSPECTION,SCHEDULED,,5000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,REPRESENTATIVE_BACKOFF,Official manufacturer maintenance manual(s),KYMCO X-Town CT family representative architecture,https://www.kymco.com.tr/upi/pdf/x-town-ct-250.pdf?v=we1,,MEDIUM,0,1,1.1.0,
POL0017,GROUP,,ICE_125_AIR_BELT,SPARK_PLUG_CHANGE,SCHEDULED,,20000.0,,36.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,REPRESENTATIVE_BACKOFF,Official manufacturer maintenance manual(s),KYMCO X-Town CT family representative architecture,https://www.kymco.com.tr/upi/pdf/x-town-ct-250.pdf?v=we1,,MEDIUM,0,1,1.1.0,
POL0018,GROUP,,ICE_125_AIR_BELT,VALVE_CLEARANCE_INSPECTION,SCHEDULED,,10000.0,,24.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,REPRESENTATIVE_BACKOFF,Official manufacturer maintenance manual(s),KYMCO X-Town CT family representative architecture,https://www.kymco.com.tr/upi/pdf/x-town-ct-250.pdf?v=we1,,MEDIUM,0,1,1.1.0,
POL0019,GROUP,,ICE_125_AIR_BELT,BATTERY_TEST,SCHEDULED,,5000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0020,GROUP,,ICE_125_AIR_BELT,GENERAL_SAFETY_INSPECTION,SCHEDULED,,5000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0021,GROUP,,ICE_125_AIR_BELT,FRONT_BRAKE_PAD_INSPECTION,SCHEDULED,,5000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0022,GROUP,,ICE_125_AIR_BELT,REAR_BRAKE_PAD_INSPECTION,SCHEDULED,,5000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0023,GROUP,,ICE_125_AIR_BELT,BRAKE_FLUID_CHECK,SCHEDULED,,5000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0024,GROUP,,ICE_125_AIR_BELT,FRONT_TIRE_INSPECTION,SCHEDULED,,5000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0025,GROUP,,ICE_125_AIR_BELT,REAR_TIRE_INSPECTION,SCHEDULED,,5000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0026,GROUP,,ICE_125_AIR_BELT,FORK_INSPECTION,SCHEDULED,,5000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0027,GROUP,,ICE_125_AIR_BELT,STEERING_BEARING_INSPECTION,SCHEDULED,,5000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0028,GROUP,,ICE_125_AIR_BELT,WHEEL_BEARING_INSPECTION,SCHEDULED,,10000.0,,24.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0029,GROUP,,ICE_125_AIR_BELT,BRAKE_FLUID_CHANGE,SCHEDULED,,,,24.0,TIME_ONLY,1.0,1.0,1.0,1.0,,,,,10,REPRESENTATIVE_BACKOFF,Honda PCX125 representative schedule,Hydraulic brake system,https://www.honda.com.tr/assets/files/Bx6KmWpQrT1715073681294.pdf,PCX schedule explicitly lists brake fluid replacement every 2 years.,HIGH,0,1,1.1.0,
POL0030,GROUP,,ICE_125_AIR_BELT,FRONT_BRAKE_PAD_CHANGE,WEAR_BASED,,,,,CONDITION_ONLY,1.0,0.8,0.75,1.0,22000.0,7000.0,7000.0,45000.0,10,SIMULATION_PRIOR,RideBase simulation prior,,,,LOW,0,1,1.1.0,
POL0031,GROUP,,ICE_125_AIR_BELT,REAR_BRAKE_PAD_CHANGE,WEAR_BASED,,,,,CONDITION_ONLY,1.0,0.75,0.75,1.0,26000.0,8000.0,8000.0,55000.0,10,SIMULATION_PRIOR,RideBase simulation prior,,,,LOW,0,1,1.1.0,
POL0032,GROUP,,ICE_125_AIR_BELT,FRONT_TIRE_CHANGE,WEAR_BASED,,,,,CONDITION_ONLY,1.0,0.8,0.75,1.0,18000.0,5000.0,8000.0,35000.0,10,SIMULATION_PRIOR,RideBase simulation prior,,,,LOW,0,1,1.1.0,
POL0033,GROUP,,ICE_125_AIR_BELT,REAR_TIRE_CHANGE,WEAR_BASED,,,,,CONDITION_ONLY,1.0,0.75,0.75,1.0,14000.0,4500.0,6000.0,30000.0,10,SIMULATION_PRIOR,RideBase simulation prior,,,,LOW,0,1,1.1.0,
POL0034,GROUP,,ICE_125_AIR_BELT,BATTERY_CHANGE,WEAR_BASED,,,,36.0,CONDITION_ONLY,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_PRIOR,RideBase simulation prior,,,,LOW,0,1,1.1.0,"36 months is a stochastic simulation center, not a manufacturer interval."
POL0035,GROUP,,ICE_125_AIR_BELT,CVT_CASE_INSPECTION,SCHEDULED,,5000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,REPRESENTATIVE_BACKOFF,KYMCO X-Town CT family manual,CVT scooter representative,https://www.kymco.com.tr/upi/pdf/x-town-ct-250.pdf?v=we1,,MEDIUM,0,1,1.1.0,
POL0036,GROUP,,ICE_125_AIR_BELT,CVT_BELT_INSPECTION,SCHEDULED,,10000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,REPRESENTATIVE_BACKOFF,KYMCO/Honda scooter schedules,CVT scooter representative,https://www.kymco.com.tr/upi/pdf/x-town-ct-250.pdf?v=we1,,MEDIUM,0,1,1.1.0,
POL0037,GROUP,,ICE_125_AIR_BELT,CVT_BELT_CHANGE,SCHEDULED,,20000.0,,36.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,REPRESENTATIVE_BACKOFF,KYMCO X-Town CT family manual,CVT scooter representative,https://www.kymco.com.tr/upi/pdf/x-town-ct-250.pdf?v=we1,"Representative table shows belt inspections and replacement around 20,000 km.",MEDIUM,0,1,1.1.0,
POL0038,GROUP,,ICE_125_AIR_BELT,CVT_ROLLER_INSPECTION,SCHEDULED,,10000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase CVT architecture backoff,,https://www.honda.com.tr/assets/files/Bx6KmWpQrT1715073681294.pdf,,LOW,0,1,1.1.0,
POL0039,GROUP,,ICE_125_AIR_BELT,CVT_ROLLER_CHANGE,WEAR_BASED,,,,,CONDITION_ONLY,1.0,1.0,1.0,1.0,22000.0,5000.0,12000.0,35000.0,10,SIMULATION_PRIOR,RideBase simulation prior,,,,LOW,0,1,1.1.0,
POL0040,GROUP,,ICE_125_AIR_BELT,FINAL_GEAR_OIL_CHANGE,SCHEDULED,,10000.0,,24.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,Honda PCX/KYMCO representative schedules,CVT scooter architecture backoff,https://www.honda.com.tr/assets/files/Bx6KmWpQrT1715073681294.pdf,PCX explicitly has 2-year reduction-oil replacement; km cadence is a simulation backoff.,LOW,0,1,1.1.0,
POL0041,GROUP,,ICE_125_AIR_CHAIN,ENGINE_OIL_CHANGE,SCHEDULED,1000.0,5000.0,,12.0,WHICHEVER_FIRST,0.8,0.75,0.8,1.0,,,,,10,REPRESENTATIVE_BACKOFF,Official manufacturer maintenance manual(s),Bajaj NS200 UG2 representative chain schedule,https://bajajturkiye.com.tr/wp-content/uploads/2025/04/NS200UG2-Kullanim-Kilavuzu.pdf,Architecture-derived backoff; not model-exact.,MEDIUM,0,1,1.1.0,
POL0042,GROUP,,ICE_125_AIR_CHAIN,AIR_FILTER_INSPECTION,SCHEDULED,,5000.0,,12.0,WHICHEVER_FIRST,0.75,0.85,0.6,0.5,,,,,10,REPRESENTATIVE_BACKOFF,Official manufacturer maintenance manual(s),Bajaj NS200 UG2 representative chain schedule,https://bajajturkiye.com.tr/wp-content/uploads/2025/04/NS200UG2-Kullanim-Kilavuzu.pdf,,MEDIUM,0,1,1.1.0,
POL0043,GROUP,,ICE_125_AIR_CHAIN,AIR_FILTER_CHANGE,SCHEDULED,,10000.0,,24.0,WHICHEVER_FIRST,0.75,0.8,0.55,0.5,,,,,10,REPRESENTATIVE_BACKOFF,Official manufacturer maintenance manual(s),Bajaj NS200 UG2 representative chain schedule,https://bajajturkiye.com.tr/wp-content/uploads/2025/04/NS200UG2-Kullanim-Kilavuzu.pdf,,MEDIUM,0,1,1.1.0,
POL0044,GROUP,,ICE_125_AIR_CHAIN,SPARK_PLUG_INSPECTION,SCHEDULED,,5000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,REPRESENTATIVE_BACKOFF,Official manufacturer maintenance manual(s),Bajaj NS200 UG2 representative chain schedule,https://bajajturkiye.com.tr/wp-content/uploads/2025/04/NS200UG2-Kullanim-Kilavuzu.pdf,,MEDIUM,0,1,1.1.0,
POL0045,GROUP,,ICE_125_AIR_CHAIN,SPARK_PLUG_CHANGE,SCHEDULED,,20000.0,,36.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,REPRESENTATIVE_BACKOFF,Official manufacturer maintenance manual(s),Bajaj NS200 UG2 representative chain schedule,https://bajajturkiye.com.tr/wp-content/uploads/2025/04/NS200UG2-Kullanim-Kilavuzu.pdf,,MEDIUM,0,1,1.1.0,
POL0046,GROUP,,ICE_125_AIR_CHAIN,VALVE_CLEARANCE_INSPECTION,SCHEDULED,,10000.0,,24.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,REPRESENTATIVE_BACKOFF,Official manufacturer maintenance manual(s),Bajaj NS200 UG2 representative chain schedule,https://bajajturkiye.com.tr/wp-content/uploads/2025/04/NS200UG2-Kullanim-Kilavuzu.pdf,,MEDIUM,0,1,1.1.0,
POL0047,GROUP,,ICE_125_AIR_CHAIN,BATTERY_TEST,SCHEDULED,,5000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0048,GROUP,,ICE_125_AIR_CHAIN,GENERAL_SAFETY_INSPECTION,SCHEDULED,,5000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0049,GROUP,,ICE_125_AIR_CHAIN,FRONT_BRAKE_PAD_INSPECTION,SCHEDULED,,5000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0050,GROUP,,ICE_125_AIR_CHAIN,REAR_BRAKE_PAD_INSPECTION,SCHEDULED,,5000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0051,GROUP,,ICE_125_AIR_CHAIN,BRAKE_FLUID_CHECK,SCHEDULED,,5000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0052,GROUP,,ICE_125_AIR_CHAIN,FRONT_TIRE_INSPECTION,SCHEDULED,,5000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0053,GROUP,,ICE_125_AIR_CHAIN,REAR_TIRE_INSPECTION,SCHEDULED,,5000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0054,GROUP,,ICE_125_AIR_CHAIN,FORK_INSPECTION,SCHEDULED,,5000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0055,GROUP,,ICE_125_AIR_CHAIN,STEERING_BEARING_INSPECTION,SCHEDULED,,5000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0056,GROUP,,ICE_125_AIR_CHAIN,WHEEL_BEARING_INSPECTION,SCHEDULED,,10000.0,,24.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0057,GROUP,,ICE_125_AIR_CHAIN,BRAKE_FLUID_CHANGE,SCHEDULED,,,,24.0,TIME_ONLY,1.0,1.0,1.0,1.0,,,,,10,REPRESENTATIVE_BACKOFF,Honda PCX125 representative schedule,Hydraulic brake system,https://www.honda.com.tr/assets/files/Bx6KmWpQrT1715073681294.pdf,PCX schedule explicitly lists brake fluid replacement every 2 years.,HIGH,0,1,1.1.0,
POL0058,GROUP,,ICE_125_AIR_CHAIN,FRONT_BRAKE_PAD_CHANGE,WEAR_BASED,,,,,CONDITION_ONLY,1.0,0.8,0.75,1.0,22000.0,7000.0,7000.0,45000.0,10,SIMULATION_PRIOR,RideBase simulation prior,,,,LOW,0,1,1.1.0,
POL0059,GROUP,,ICE_125_AIR_CHAIN,REAR_BRAKE_PAD_CHANGE,WEAR_BASED,,,,,CONDITION_ONLY,1.0,0.75,0.75,1.0,26000.0,8000.0,8000.0,55000.0,10,SIMULATION_PRIOR,RideBase simulation prior,,,,LOW,0,1,1.1.0,
POL0060,GROUP,,ICE_125_AIR_CHAIN,FRONT_TIRE_CHANGE,WEAR_BASED,,,,,CONDITION_ONLY,1.0,0.8,0.75,1.0,18000.0,5000.0,8000.0,35000.0,10,SIMULATION_PRIOR,RideBase simulation prior,,,,LOW,0,1,1.1.0,
POL0061,GROUP,,ICE_125_AIR_CHAIN,REAR_TIRE_CHANGE,WEAR_BASED,,,,,CONDITION_ONLY,1.0,0.75,0.75,1.0,14000.0,4500.0,6000.0,30000.0,10,SIMULATION_PRIOR,RideBase simulation prior,,,,LOW,0,1,1.1.0,
POL0062,GROUP,,ICE_125_AIR_CHAIN,BATTERY_CHANGE,WEAR_BASED,,,,36.0,CONDITION_ONLY,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_PRIOR,RideBase simulation prior,,,,LOW,0,1,1.1.0,"36 months is a stochastic simulation center, not a manufacturer interval."
POL0063,GROUP,,ICE_125_AIR_CHAIN,CHAIN_INSPECTION,SCHEDULED,,1000.0,,,KM_ONLY,0.75,0.7,0.5,1.0,,,,,10,REPRESENTATIVE_BACKOFF,Bajaj NS200 UG2 manual,Chain-drive representative,https://bajajturkiye.com.tr/wp-content/uploads/2025/04/NS200UG2-Kullanim-Kilavuzu.pdf,,MEDIUM,0,1,1.1.0,
POL0064,GROUP,,ICE_125_AIR_CHAIN,CHAIN_CLEAN,SCHEDULED,,500.0,,,KM_ONLY,0.7,0.7,0.4,0.5,,,,,10,VERIFIED_REPRESENTATIVE,Bajaj NS200 UG2 manual,Bajaj NS200 UG2,https://bajajturkiye.com.tr/wp-content/uploads/2025/04/NS200UG2-Kullanim-Kilavuzu.pdf,Maintenance table explicitly says chain cleaning spray every 500 km.,HIGH,0,1,1.1.0,
POL0065,GROUP,,ICE_125_AIR_CHAIN,CHAIN_LUBRICATE,SCHEDULED,,500.0,,,KM_ONLY,0.7,0.7,0.4,0.5,,,,,10,SIMULATION_BACKOFF,RideBase derived from chain-cleaning cadence,Bajaj NS200 UG2 reference,https://bajajturkiye.com.tr/wp-content/uploads/2025/04/NS200UG2-Kullanim-Kilavuzu.pdf,,LOW,0,1,1.1.0,
POL0066,GROUP,,ICE_125_AIR_CHAIN,CHAIN_ADJUST,CONDITION_BASED,,,,,CONDITION_ONLY,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_PRIOR,RideBase simulation prior,,,,MEDIUM,0,1,1.1.0,
POL0067,GROUP,,ICE_125_AIR_CHAIN,CHAIN_SPROCKET_REPLACE,WEAR_BASED,,,,,CONDITION_ONLY,1.0,0.75,0.7,0.8,22000.0,6000.0,12000.0,40000.0,10,SIMULATION_PRIOR,RideBase simulation prior,,,,LOW,0,1,1.1.0,
POL0068,GROUP,,ICE_125_AIR_CHAIN,CLUTCH_FREE_PLAY_CHECK,SCHEDULED,,5000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0069,GROUP,,ICE_125_AIR_CHAIN,CLUTCH_PLATE_INSPECTION,CONDITION_BASED,,,,,CONDITION_ONLY,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_PRIOR,RideBase simulation prior,,,,LOW,0,1,1.1.0,
POL0070,GROUP,,ICE_125_AIR_CHAIN,CLUTCH_PLATE_CHANGE,WEAR_BASED,,,,,CONDITION_ONLY,1.0,0.7,0.75,1.0,40000.0,12000.0,15000.0,80000.0,10,SIMULATION_PRIOR,RideBase simulation prior,,,,LOW,0,1,1.1.0,
POL0071,GROUP,,ICE_125_LIQUID_BELT,ENGINE_OIL_CHANGE,SCHEDULED,1000.0,6000.0,,12.0,WHICHEVER_FIRST,0.8,0.75,0.8,1.0,,,,,10,REPRESENTATIVE_BACKOFF,Official manufacturer maintenance manual(s),Honda PCX125 representative architecture,https://www.honda.com.tr/assets/files/Bx6KmWpQrT1715073681294.pdf,Architecture-derived backoff; not model-exact.,MEDIUM,0,1,1.1.0,
POL0072,GROUP,,ICE_125_LIQUID_BELT,AIR_FILTER_INSPECTION,SCHEDULED,,6000.0,,12.0,WHICHEVER_FIRST,0.75,0.85,0.6,0.5,,,,,10,REPRESENTATIVE_BACKOFF,Official manufacturer maintenance manual(s),Honda PCX125 representative architecture,https://www.honda.com.tr/assets/files/Bx6KmWpQrT1715073681294.pdf,,MEDIUM,0,1,1.1.0,
POL0073,GROUP,,ICE_125_LIQUID_BELT,AIR_FILTER_CHANGE,SCHEDULED,,12000.0,,24.0,WHICHEVER_FIRST,0.75,0.8,0.55,0.5,,,,,10,REPRESENTATIVE_BACKOFF,Official manufacturer maintenance manual(s),Honda PCX125 representative architecture,https://www.honda.com.tr/assets/files/Bx6KmWpQrT1715073681294.pdf,,MEDIUM,0,1,1.1.0,
POL0074,GROUP,,ICE_125_LIQUID_BELT,SPARK_PLUG_INSPECTION,SCHEDULED,,6000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,REPRESENTATIVE_BACKOFF,Official manufacturer maintenance manual(s),Honda PCX125 representative architecture,https://www.honda.com.tr/assets/files/Bx6KmWpQrT1715073681294.pdf,,MEDIUM,0,1,1.1.0,
POL0075,GROUP,,ICE_125_LIQUID_BELT,SPARK_PLUG_CHANGE,SCHEDULED,,24000.0,,36.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,REPRESENTATIVE_BACKOFF,Official manufacturer maintenance manual(s),Honda PCX125 representative architecture,https://www.honda.com.tr/assets/files/Bx6KmWpQrT1715073681294.pdf,,MEDIUM,0,1,1.1.0,
POL0076,GROUP,,ICE_125_LIQUID_BELT,VALVE_CLEARANCE_INSPECTION,SCHEDULED,,10000.0,,24.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,REPRESENTATIVE_BACKOFF,Official manufacturer maintenance manual(s),Honda PCX125 representative architecture,https://www.honda.com.tr/assets/files/Bx6KmWpQrT1715073681294.pdf,,MEDIUM,0,1,1.1.0,
POL0077,GROUP,,ICE_125_LIQUID_BELT,BATTERY_TEST,SCHEDULED,,6000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0078,GROUP,,ICE_125_LIQUID_BELT,GENERAL_SAFETY_INSPECTION,SCHEDULED,,6000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0079,GROUP,,ICE_125_LIQUID_BELT,FRONT_BRAKE_PAD_INSPECTION,SCHEDULED,,6000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0080,GROUP,,ICE_125_LIQUID_BELT,REAR_BRAKE_PAD_INSPECTION,SCHEDULED,,6000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
