feature_name,source,available_at_snapshot,future_information,identifier,used,leakage_status,reason
load_severity_factor,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
climate_zone,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
workshop_city,ml_maintenance_snapshots.parquet,True,False,False,False,PASS,"Metadata, redundant veya raw datetime; feature dışı"
workshop_region,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
workshop_climate_zone,ml_maintenance_snapshots.parquet,True,False,False,False,PASS,"Metadata, redundant veya raw datetime; feature dışı"
price_level,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
service_bay_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
technician_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
daily_service_capacity,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
appointment_rate,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
avg_parts_lead_days,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
same_day_parts_rate,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
labor_rate_index,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
customer_volume_index,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
courier_customer_share,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
snapshot_odometer_km,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
current_mileage_source,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
current_mileage_quality_flag,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
current_mileage_estimated,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
current_service_type_code,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
current_arrival_mode,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
current_primary_trigger_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
current_service_delay_days,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
current_is_breakdown,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
current_is_warranty,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
current_service_timestamp_repaired,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
current_labor_total,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
current_parts_total,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
current_grand_total,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
current_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
current_completed_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
current_declined_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
current_policy_due_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
current_fault_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
current_inspection_finding_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
current_replace_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
current_parts_line_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
current_supplier_parts_line_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
days_since_previous_service,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
km_since_previous_service,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
avg_km_per_day_since_previous_service,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
avg_service_interval_days,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
avg_service_interval_km,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
rolling3_interval_days,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
rolling3_interval_km,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
service_odometer_regression_count_to_date,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
periodic_service_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
repair_service_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
breakdown_service_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
warranty_service_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
appointment_service_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
walkin_service_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
services_last_90d,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
services_last_365d,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
cumulative_service_spend,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
avg_service_spend,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
total_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
total_completed_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
total_declined_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
total_policy_due_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
total_fault_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
total_inspection_finding_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
total_replace_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
days_since_engine_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
km_since_engine_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
days_since_brakes_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
km_since_brakes_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
days_since_final_drive_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
km_since_final_drive_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
days_since_tires_wheels_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
km_since_tires_wheels_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
days_since_electrical_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
km_since_electrical_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
days_since_transmission_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
km_since_transmission_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
days_since_cooling_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
km_since_cooling_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
days_since_intake_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
km_since_intake_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
feature_version,ml_maintenance_snapshots.parquet,True,False,False,False,PASS,"Metadata, redundant veya raw datetime; feature dışı"
data_origin,ml_maintenance_snapshots.parquet,True,False,False,False,PASS,"Metadata, redundant veya raw datetime; feature dışı"
generator_version,ml_maintenance_snapshots.parquet,True,False,False,False,PASS,"Metadata, redundant veya raw datetime; feature dışı"
random_seed,ml_maintenance_snapshots.parquet,True,False,False,False,PASS,"Metadata, redundant veya raw datetime; feature dışı"
scenario_id,ml_maintenance_snapshots.parquet,True,False,False,False,PASS,"Metadata, redundant veya raw datetime; feature dışı"
maintenance_overdue_days_pre_service,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
maintenance_overdue_km_pre_service,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
previous_failure_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
failure_hazard_score,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
chronic_risk_tier,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
